filename, language, YAML, Dart, Groovy, Properties, Swift, XML, C++, JSON, Markdown, Kotlin, comment, blank, total
lib/Screens/Posts/postPage.dart, Dart, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
lib/Screens/SignUp/signUp.dart, Dart, 0, 434, 0, 0, 0, 0, 0, 0, 0, 0, 54, 30, 518
lib/Screens/mainHome.dart, Dart, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 37, 21, 247
lib/Screens/rootPage.dart, Dart, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 99
lib/Utils/Auth/authentication.dart, Dart, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 98
lib/Utils/Language/language.dart, Dart, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
lib/Utils/Style/style.dart, Dart, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
lib/generated/i18n.dart, Dart, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 123
lib/main.dart, Dart, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
lib/mainApp.dart, Dart, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
pubspec.yaml, YAML, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 68
test/widget_test.dart, Dart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 31
Total, -, 62, 5689, 96, 8, 12, 111, 1, 145, 5, 10, 768, 575, 7482
